issue_key,phase,title,priority,labels,assignee,description,deliverable
PROV-101,Foundation,Site Architecture: Free vs Paid Tier Routing,High,"foundation;priority-high",Codex/Claude,"Implement free tier high-density banners/basic directory/HS sports and paid tier ad-free carousel/rich profiles/lead forms.","Tier routing live with correct ad and UX state per subscription."
PROV-102,Foundation,SEO Pillar URL Mapping and Internal Linking,Medium,"foundation;editorial;needs-design;priority-medium",Codex/Claude,"Map seven editorial pillars and define automatic cross-linking rules for published content.","SEO pillar map live with automatic internal linking on publish."
PROV-103,Foundation,Editorial Submission Middleware Queue,High,"foundation;priority-high",Codex/Claude,"Build article and letter submission endpoints, moderation workflow, and author role assignment.","Submission queue live with approve/reject/revision workflow."
PROV-104,Foundation,Shop Local Directory Schema and Search Index,High,"foundation;priority-high",Codex/Claude,"Design business directory schema with category, geo, search, map view, rich profiles, and lead form fields.","Searchable Shop Local directory schema and admin CRUD ready."
PROV-105,Foundation,Community Calendar Embed and RSVP Handler,Medium,"foundation;needs-design;priority-medium",Codex/Claude,"Build event CRUD, RSVP tracking, capacity limits, map pins, and sponsor-promoted event modules.","Calendar and RSVP lane ready for city-site launch."
PROV-201,Editorial Workflow,Author Role Assignment: Sweeney Weisneth Hill,Medium,"editorial;priority-medium",Codex/Claude,"Assign author roles and publish permissions for Patrick, Joathon, and Paul with byline/profile schema.","Author lanes wired to article schema and OpenGraph metadata."
PROV-202,Editorial Workflow,LTO Submission Form and Moderation Dashboard,Medium,"editorial;priority-medium",Codex/Claude,"Build Letters to the Editor form with word limit, identity fields, verification lane, and moderation queue.","LTO form and review queue ready for editorial use."
PROV-203,Editorial Workflow,Ad Placement Engine and Tier Logic,High,"editorial;needs-design;priority-high",Codex/Claude,"Implement tier-based ad placement zones for banners, sidebars, inline ads, carousel placements, and paid bypass.","Ad placement API and paid ad-free bypass working."
PROV-204,Editorial Workflow,Sponsored Carousel Component and Tracking,High,"editorial;needs-design;priority-high",Codex/Claude,"Build sponsored article carousel with native labeling, swipe interaction, rotation controls, and click/impression events.","Sponsored carousel visible with tracking hooks and admin rotation controls."
PROV-205,Editorial Workflow,GoFundMe Local Feed and Verification Badge,Medium,"editorial;priority-medium",Codex/Claude,"Create local giving feed with manual or partner-submitted campaigns, verification badges, featured campaign module, and update posts.","Local giving module ready with verification workflow."
PROV-301,Launch and Optimization,Schema Deployment: Article Event LocalBusiness,Medium,"launch;priority-medium",Codex/Claude,"Deploy JSON-LD structured data for articles, events, local businesses, and organization pages.","Structured data passes rich-result smoke checks."
PROV-302,Launch and Optimization,SEO Audit: Meta Alt Headings Internal Links,Medium,"launch;needs-qa;priority-medium",Codex/Claude,"Audit title tags, meta descriptions, heading structure, image alt text, and internal links across published content.","SEO QA checklist completed before hard launch."
PROV-303,Launch and Optimization,Ad Density Optimization and Performance Tuning,Medium,"launch;needs-design;priority-medium",Codex/Claude,"Tune ad density, lazy loading, page weight, and Core Web Vitals with ad modules active.","Ad layout tuned for UX, viewability, and performance."
PROV-304,Launch and Optimization,Analytics and Conversion Tracking,High,"launch;priority-high",Codex/Claude,"Track newsletter opt-ins, sponsor leads, Shop Local inquiries, RSVP events, and campaign conversions.","Live conversion dashboard with funnel metrics."
PROV-305,Launch and Optimization,Soft Launch Feedback Capture Hard Launch,High,"launch;priority-high",Codex/Claude,"Soft launch to pilot towns, capture feedback, patch issues, and prepare hard launch across eight city targets.","Pilot feedback captured and hard-launch checklist approved."
PROV-401,Digital Weekly Delivery,Subscriber Preference API,High,"digital-weekly;subscriber;priority-high",Codex/Claude,"Build POST /api/subscribe with town/topic preferences, unsubscribe token, and database persistence.","Subscriber capture works with town/topic preferences and compliant unsubscribe."
PROV-402,Digital Weekly Delivery,Weekly Edition Build Engine,High,"digital-weekly;edition-builder;priority-high",Codex/Claude,"Create build_edition.py to pull approved content, events, ads, and Shop Local items into town/date HTML and JSON editions.","GET /api/weekly/{town}/{date} returns a mobile-first edition payload."
PROV-403,Digital Weekly Delivery,Community Submission Forms,High,"digital-weekly;editorial;priority-high",Codex/Claude,"Build public submission forms for articles, LTO, event notices, photo/video upload, and moderation metadata.","Submissions land in moderation queue with category, town, contact, and asset metadata."
PROV-404,Digital Weekly Delivery,Shop Local Business Onboarding,Medium,"digital-weekly;shop-local;priority-medium",Codex/Claude,"Build business onboarding for free/featured/rich profile tiers with category, contact, media, and ad tier fields.","Business intake creates review-ready Shop Local records."
PROV-405,Digital Weekly Delivery,Town Subscriber Landing Pages,Medium,"digital-weekly;seo;priority-medium",Codex/Claude,"Create mobile-first landing page template per town with signup, topic choices, and welcome CTA.","Each pilot town has a working signup URL and SEO metadata."
PROV-406,Digital Weekly Delivery,SMTP Delivery and Schedule,High,"digital-weekly;delivery;priority-high",Codex/Claude,"Wire SMTP or transactional email provider and scheduled Thursday/Friday delivery lane for approved editions.","Scheduled delivery can send test editions and log success/failure."
PROV-407,Digital Weekly Delivery,Subscriber and Sponsor Analytics,Medium,"digital-weekly;analytics;priority-medium",Codex/Claude,"Track subscriber growth, opens, clicks, ad CTR, sponsor leads, and town-level conversion funnels.","SATCOM shows weekly edition KPIs by town and sponsor lane."
