id,brand,campaign,industry,status,priority,kitPath,dashboardPath,satcomPath,onboardingUrl,editorialPath,manifestPath,imagePath,nextAction
ricks-cabaret,Rick's Cabaret & Steakhouse Central City,Black Hawk Corridor Nightlife Escape,Hospitality / venue,Live kit + Claude operator kit attached,Hot,/ricks-cabaret-campaign-kit/,/ricks-cabaret-dashboard/,/,https://myappstore.biz/onboarding?client=ricks-cabaret-central-city,/ricks-cabaret-dashboard/editorial/ny-case-series/,/ricks-cabaret-campaign-kit/manifest.json,/showcase-prospects/art/ricks-cabaret.svg,"Send Rick's owner/operator dashboard and onboarding link by SMS, then review the NY case editorial reader."
stans-auto,"Stan's Auto Sales, LLC",Westminster Family Car Finder,Auto sales,Shipped + prospect board live,Active,/stans-auto-sales-campaign-kit/,/stans-auto-sales-campaign-kit/prospects/top-20-prospects.html,,,,/stans-auto-sales-campaign-kit/manifest.json,/showcase-prospects/art/stans-auto.svg,Use the Top 20 Auto Prospect board to clone the kit for nearby auto categories.
deer-road,"240 Deer Road, Evergreen",Evergreen A-Frame Retreat,Real estate,Shipped,Active,/240-deer-road-campaign-kit/,/240-deer-road-campaign-kit/#customer-home-buying-kit,,,,/240-deer-road-campaign-kit/manifest.json,/showcase-prospects/art/deer-road.svg,Send the two-link handoff to listing agents: public campaign kit plus customer home-buying kit.
deer-road-template,240 Deer Road Template Demo,Evergreen A-Frame Retreat template,Real estate template,Demo / template,Reference,/240-deer-road-template-demo-campaign-kit/,/240-deer-road-template-demo-campaign-kit/#customer-home-buying-kit,,,,/240-deer-road-template-demo-campaign-kit/manifest.json,/showcase-prospects/art/deer-road-template.svg,Use as a controlled template reference when building new property kits.
colorado-gambler,Colorado Gambler,Casino Guide Launch 2026,Casino guide / publishing vertical,Asset pack shipped,Active,/cg-campaign-kit/email/newsletter-casino-guide.html,/cg-campaign-kit/banners/banner-leaderboard-728x90.html,,,,/cg-campaign-kit/manifest.json,/showcase-prospects/art/colorado-gambler.svg,Use the manifest and newsletter preview as the proof path until a full landing page exists.
copress-satcom,CoPress Dashboard / SATCOM,Publishing Spine,Publishing operations,Shipped,House,/copress-satcom-campaign-kit/,/copress-satcom-campaign-kit/#operator-kit,,,,/copress-satcom-campaign-kit/manifest.json,/showcase-prospects/art/copress-satcom.svg,Use as the owner/operator explanation kit for new SATCOM publishing prospects.
ricks-gondola-project,Rick's Gondola Project,Central City / Black Hawk Corridor Access Concept,Hospitality / mobility concept,Generated review kit,Hot,/generated-campaign-kits/idaho-01-rick-s-gondola-project-campaign-kit/,/generated-campaign-kits/idaho-01-rick-s-gondola-project-campaign-kit/,/#ai-studio,https://myappstore.biz/onboarding?client=ricks-gondola-project,,/generated-campaign-kits/idaho-01-rick-s-gondola-project-campaign-kit/manifest.json,,"Review as a concept kit only; collect route facts, approvals, stakeholder owner, legal/compliance notes, and approved photos before public use."
mtn-prime-steakhouse,MTN Prime Steakhouse,Idaho Springs Mountain Dining Campaign,Restaurant / steakhouse,Generated review kit,Hot,/generated-campaign-kits/idaho-02-mtn-prime-steakhouse-campaign-kit/,/generated-campaign-kits/idaho-02-mtn-prime-steakhouse-campaign-kit/,/#ai-studio,https://myappstore.biz/onboarding?client=mtn-prime-steakhouse,,/generated-campaign-kits/idaho-02-mtn-prime-steakhouse-campaign-kit/manifest.json,,"Send review link, request approved menu copy, booking link, current hours, photo rights, and owner approval contact."
safeway-idaho-springs,Safeway Idaho Springs,Idaho Springs Local Essentials Campaign,Grocery / pharmacy,Generated review kit,Active,/generated-campaign-kits/idaho-03-safeway-idaho-springs-campaign-kit/,/generated-campaign-kits/idaho-03-safeway-idaho-springs-campaign-kit/,/#ai-studio,https://myappstore.biz/onboarding?client=safeway-idaho-springs,,/generated-campaign-kits/idaho-03-safeway-idaho-springs-campaign-kit/manifest.json,,"Treat as corporate-approval required. Confirm local manager/marketing contact, approved offer language, pharmacy restrictions, and image rights."
indian-hot-springs,Indian Hot Springs,Idaho Springs Historic Soak Getaway,Resort / hot springs,Generated review kit,Hot,/generated-campaign-kits/idaho-04-indian-hot-springs-campaign-kit/,/generated-campaign-kits/idaho-04-indian-hot-springs-campaign-kit/,/#ai-studio,https://myappstore.biz/onboarding?client=indian-hot-springs,,/generated-campaign-kits/idaho-04-indian-hot-springs-campaign-kit/manifest.json,,"Request approved amenity copy, room/rate links, health-claim restrictions, photo rights, and booking CTA."
maverick-casino,Maverick Casino,Black Hawk / Central City Gaming Visibility Kit,Casino / gaming,Generated review kit,Active,/generated-campaign-kits/idaho-05-maverick-casino-campaign-kit/,/generated-campaign-kits/idaho-05-maverick-casino-campaign-kit/,/#ai-studio,https://myappstore.biz/onboarding?client=maverick-casino,,/generated-campaign-kits/idaho-05-maverick-casino-campaign-kit/manifest.json,,"Run compliance review first: property naming, responsible gaming language, promotions, age restrictions, license references, and approved artwork."
